ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,as_of_date,error
SPY,ETF,marketCap,642392326144.0,699.9400024414062,7.382,0.010546618244780153,0.9999999999999998,0.13280695386723787,0.7752538848617716,0.18755246925491087,2026-05-22,36,735.0,0.0,0.0,1.76,0.0,737.0,0.0,0.05009000405220987,0.0,0.0025145012341930466,0.025494248624457278,2026-04-16,
DIA,ETF,marketCap,39380058112.0,484.7200012207031,7.0440000000000005,0.014532100970169623,0.8720516838847042,0.13152323060814666,0.5137192768443424,0.159543110055971,2026-05-22,36,510.0,0.0,0.0,1.18,0.0,1.0,0.0,0.05215381811279207,0.0,0.002434395108574695,0.024682061517493435,2026-04-16,
IWM,ETF,marketCap,75712061440.0,269.3900146484375,2.537,0.00941757252328326,1.2283736138680195,0.19597797907415976,0.5761458670722419,0.2750308187824889,2026-05-22,36,285.0,0.0,0.0,1.83,0.0,3292.0,0.0,0.05794567171294007,0.0,0.006793124839419932,0.06887473795522986,2026-04-16,
QQQ,ETF,marketCap,250561953792.0,637.4000244140625,2.8120000000000003,0.004411672250224597,1.234182847348736,0.17072804858812596,1.053973042685807,0.22768304800555927,2026-05-22,36,670.0,0.0,0.0,3.99,0.0,992.0,0.0,0.051145237429046864,0.0,0.00625980521991328,0.06346746959078742,2026-04-16,
VTI,ETF,marketCap,715931123712.0,345.239990234375,3.769,0.010917043525118044,1.0159834423474423,0.13541084980854579,0.7631621643483468,0.19303591786230678,2026-05-15,29,365.0,0.0,0.0,0.35,0.0,9.0,0.0,0.05723557619211617,0.0,0.0010137875388143579,0.01275973971266347,2026-04-16,
VTV,ETF,marketCap,85715673088.0,202.0399932861328,3.972,0.019659474024901494,0.6482425816176575,0.110022279191565,0.5485674728732433,0.14519534756898733,2026-05-15,29,210.0,0.0,0.0,0.45,0.0,4.0,196.0,0.03939817352198216,0.0,0.002227281800404248,0.028033029556812084,2026-04-16,
VIG,ETF,totalAssets,117045436416.0,224.3699951171875,3.4530000000000003,0.015389758323952866,0.7578968857845785,0.11239800551652894,0.5275358359221975,0.1495047285710901,2026-05-15,29,235.0,0.0,0.0,0.16,0.0,2.0,45.0,0.047377123118715,0.0,0.0007131078285063593,0.008975322669131763,2026-04-16,
VYM,ETF,totalAssets,88722817024.0,153.0500030517578,3.513,0.022953282783091406,0.6870600468716507,0.11051596354601403,0.5613553580402886,0.14455317042510807,2026-05-15,29,161.0,0.0,0.0,0.27,0.0,2.0,0.0,0.05194378823732326,0.0,0.001764129334311039,0.0222036967939148,2026-04-16,
SCHD,ETF,totalAssets,84820000768.0,30.649999618530273,1.0550000000000002,0.034420881341942065,0.4522075818948379,0.11752279172166773,0.3981818463410356,0.16124832431470015,2026-05-22,36,32.0,0.0,0.0,0.06,0.0,16.0,0.0,0.044045689992555426,0.0,0.0019575856687360413,0.019847743585795975,2026-04-16,
DGRO,ETF,totalAssets,37549682688.0,72.36000061035156,1.471,0.020328910829079845,0.6495309743277579,0.10561256777851626,0.5385859512661693,0.14026261952252106,2026-05-15,29,74.0,0.0,0.0,0.34,0.0,2.0,0.0,0.022664446874173017,0.0,0.004698728539692146,0.0591391695512977,2026-04-16,
NOBL,ETF,totalAssets,11058682880.0,107.02999877929688,2.2720000000000002,0.02122769341224621,0.5331809042360163,0.12356509720499036,0.24952924329684412,0.15364486855897486,2026-05-15,29,113.0,0.0,0.0,0.1,0.0,1.0,0.0,0.055778765661893326,0.0,0.0009343174917361888,0.011759513258058928,2026-04-16,
DVY,ETF,marketCap,26583093248.0,151.86000061035156,5.244,0.03453180547164137,0.5483607707309217,0.11960780626018368,0.4270299978506289,0.16000224768348126,2026-05-15,29,159.0,0.0,0.0,0.1,0.0,17.0,0.0,0.04701698512413777,0.0,0.000658501248505747,0.008288032955330954,2026-04-16,
HDV,ETF,totalAssets,13547995136.0,133.27000427246094,3.959,0.029706609687699188,0.23866855276913573,0.09982199909728946,0.4225062788529794,0.10493724707099239,2026-05-15,29,140.0,0.0,0.0,0.65,0.0,1.0,48.0,0.05049895334121901,0.0,0.004877316569084232,0.061386915438473945,2026-04-16,
SPYD,ETF,totalAssets,7048502272.0,45.7400016784668,1.988,0.043463050438319044,0.47653009550307707,0.12418790564537768,0.3707084720659579,0.1612985847649403,2026-05-15,29,48.0,0.0,0.0,0.09,0.0,4.0,0.0,0.049409668530842055,0.0,0.0019676431284953288,0.024765163513820517,2026-04-16,
FDVV,ETF,totalAssets,8527058944.0,58.18000030517578,1.657,0.0284805773686562,0.7140523679109652,0.10649211660725647,0.6634839701580346,0.1590180167120041,2026-05-15,29,61.0,0.0,0.0,0.3,0.0,1.0,0.0,0.04847025919615455,0.0,0.00515641111080076,0.06489965708421645,2026-04-16,
XLE,ETF,marketCap,10395001856.0,55.7599983215332,1.4915,0.02674856608494584,0.1752245935265158,0.1979940607104724,0.42202573512494235,0.2013729572359929,2026-05-22,36,58.5,0.0,0.0,1.04,0.0,157.0,0.0,0.04913919944306522,0.0,0.01865136354565449,0.18910410261566357,2026-04-16,
XLF,ETF,marketCap,46089322496.0,52.16999816894531,0.792,0.015181139118219207,0.8498923610462338,0.15352964224145227,0.6931883968255934,0.15540286768606792,2026-05-22,36,55.0,0.0,0.0,0.3,0.0,127.0,0.0,0.054245772098555856,0.0,0.005750431484173941,0.058302985881208004,2026-04-16,
XLP,ETF,marketCap,17036541952.0,81.05999755859375,2.175,0.02683197712198071,0.13206318841759032,0.12661268563747816,0.1637541493814565,0.13365479910587919,2026-05-22,36,85.0,0.0,0.0,0.5,0.0,3.0,0.0,0.048606002468211784,0.0,0.006168270602754187,0.0625394102779244,2026-04-16,
XLU,ETF,marketCap,7513869312.0,46.02000045776367,1.1895,0.025847457370012452,0.308427637884783,0.14132706019198923,0.4469309379709676,0.18392249098386648,2026-05-22,36,48.5,0.0,0.0,0.27,0.0,1.0,0.0,0.053889602728544705,0.0,0.005867014283231073,0.05948500592720393,2026-04-16,
XLV,ETF,marketCap,29172017152.0,147.77000427246094,2.5069999999999997,0.016965554087536933,0.5592383226310925,0.16010075168614268,0.1602970325322115,0.17108994448108517,2026-05-22,36,155.0,0.0,0.0,0.87,0.0,1.0,0.0,0.048927356828171176,0.0,0.005887527744777477,0.059692989634549415,2026-04-16,
SMH,ETF,marketCap,5286917632.0,453.0,1.105,0.0024392935982339957,1.843000990095831,0.300621280142734,2.6033489222957926,0.3573876619263665,2026-05-22,36,475.0,0.0,0.0,13.73,0.0,34.0,0.0,0.04856512141280356,0.0,0.030309050772626932,0.3073000981113564,2026-04-16,
SOXX,ETF,marketCap,3074228992.0,401.8599853515625,1.6680000000000001,0.00415069939979411,1.9141539601458168,0.32599997847561973,1.8751756980514287,0.41361043924593044,2026-05-22,36,420.0,0.0,0.0,10.6,0.0,2.0,0.0,0.04514013663880445,0.0,0.02637734630564602,0.26743698337668875,2026-04-16,
KRE,ETF,totalAssets,3711147008.0,69.16999816894531,1.573,0.022741073321384253,1.0605090812730122,0.23998015007464338,0.7569947187931527,0.28200991256596675,2026-05-22,36,74.0,0.0,0.0,0.78,0.0,51.0,0.0,0.06982798841858551,0.0,0.011276565283331036,0.11433184245599522,2026-04-16,
IYR,ETF,marketCap,4958194688.0,100.47000122070312,2.247,0.02236488476857883,0.45696344679135065,0.13415056437600759,0.2752758022281101,0.17523529646889657,2026-05-22,36,104.0,0.0,0.0,0.51,0.0,,0.0,0.03513485355238033,0.0,0.005076142070304942,0.05146644043503622,2026-04-16,
VNQ,ETF,marketCap,34904367104.0,94.29000091552734,3.487,0.03698165199005501,0.4727016497979991,0.1344727432546128,0.28063480582891476,0.17454810875098337,2026-05-15,29,99.0,0.0,0.0,0.13,0.0,31.0,0.0,0.04995226470187708,0.0,0.001378725196073172,0.017352920571265782,2026-04-16,
PFF,ETF,marketCap,13122591744.0,31.360000610351562,1.7799999999999998,0.05676020297692351,0.3832126095662959,0.06976181406975744,0.2077699605560701,0.10630207682784842,2026-05-15,29,32.0,0.0,0.0,0.05,0.0,6.0,0.0,0.020408143405366452,0.0,0.0015943877240708853,0.020067293768478385,2026-04-16,
