ticker,asset_type,size_metric_name,size_metric,price,ttm_dividends,dividend_yield,beta_1y,realized_vol_1y,total_return_3y,max_drawdown_3y,selected_expiration,selected_dte,selected_strike,selected_call_bid,selected_call_ask,selected_call_mid,selected_call_open_interest,selected_call_volume,expiration_total_call_open_interest,selected_call_otm_pct,selected_call_spread_pct,selected_call_yield,annualized_call_yield,as_of_date,error,status,fail_reasons,score_total,score_dividend,score_call,score_liquidity,score_quality,score_risk_fit,combined_income_score_proxy
XLE,ETF,marketCap,10395001856.0,55.7599983215332,1.4915,0.0267485660849458,0.1752245935265158,0.1979940607104724,0.4220257351249423,0.2013729572359929,2026-05-22,36,58.5,0.0,0.0,1.04,0.0,157.0,0.0,0.0491391994430652,0.0,0.0186513635456544,0.1891041026156635,2026-04-16,,PASS,,0.626423,0.112476,1.0,0.3,0.922026,1.0,0.2158526687006093
KRE,ETF,totalAssets,3711147008.0,69.16999816894531,1.573,0.0227410733213842,1.0605090812730122,0.2399801500746433,0.7569947187931527,0.2820099125659667,2026-05-22,36,74.0,0.0,0.0,0.78,0.0,51.0,0.0,0.0698279884185855,0.0,0.011276565283331,0.1143318424559952,2026-04-16,,PASS,,0.480482,0.045685,0.562212,0.3,0.93598,1.0,0.1370729157773794
XLP,ETF,marketCap,17036541952.0,81.05999755859375,2.175,0.0268319771219807,0.1320631884175903,0.1266126856374781,0.1637541493814565,0.1336547991058791,2026-05-22,36,85.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0486060024682117,0.0,0.0061682706027541,0.0625394102779244,2026-04-16,,PASS,,0.353109,0.113866,0.216929,0.3,0.663754,1.0,0.08937138739990509
SMH,ETF,marketCap,5286917632.0,453.0,1.105,0.0024392935982339,1.843000990095831,0.300621280142734,2.6033489222957926,0.3573876619263665,2026-05-22,36,475.0,0.0,0.0,13.73,0.0,34.0,0.0,0.0485651214128035,0.0,0.0303090507726269,0.3073000981113564,2026-04-16,,FAIL,dividend_yield<0.02;beta_1y>1.25,0.527784,0.0,1.0,0.3,0.785225,0.5,0.3097393917095903
SOXX,ETF,marketCap,3074228992.0,401.8599853515625,1.668,0.0041506993997941,1.9141539601458168,0.3259999784756197,1.8751756980514287,0.4136104392459304,2026-05-22,36,420.0,0.0,0.0,10.6,0.0,2.0,0.0,0.0451401366388044,0.0,0.026377346305646,0.2674369833766887,2026-04-16,,FAIL,dividend_yield<0.02;beta_1y>1.25;option_liquidity<oi:50|vol:3,0.510917,0.0,1.0,0.3,0.672779,0.5,0.2715876827764828
FDVV,ETF,totalAssets,8527058944.0,58.18000030517578,1.657,0.0284805773686562,0.7140523679109652,0.1064921166072564,0.6634839701580346,0.1590180167120041,2026-05-15,29,61.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0484702591961545,0.0,0.0051564111108007,0.0648996570842164,2026-04-16,,FAIL,option_liquidity<oi:50|vol:3,0.415135,0.141343,0.232664,0.3,1.0,1.0,0.09338023445287259
PFF,ETF,marketCap,13122591744.0,31.36000061035156,1.7799999999999998,0.0567602029769235,0.3832126095662959,0.0697618140697574,0.2077699605560701,0.1063020768278484,2026-05-15,29,32.0,0.0,0.0,0.05,0.0,6.0,0.0,0.0204081434053664,0.0,0.0015943877240708,0.0200672937684783,2026-04-16,,FAIL,annualized_call_yield<0.03;realized_vol_1y<0.08,0.414214,0.61267,0.0,0.3,0.70777,0.948809,0.0768274967454018
HDV,ETF,totalAssets,13547995136.0,133.27000427246094,3.959,0.0297066096876991,0.2386685527691357,0.0998219990972894,0.4225062788529794,0.1049372470709923,2026-05-15,29,140.0,0.0,0.0,0.65,0.0,1.0,48.0,0.050498953341219,0.0,0.0048773165690842,0.0613869154384739,2026-04-16,,FAIL,option_liquidity<oi:50|vol:3,0.401594,0.161777,0.209246,0.3,0.922506,1.0,0.091093525126173
SPYD,ETF,totalAssets,7048502272.0,45.7400016784668,1.988,0.043463050438319,0.476530095503077,0.1241879056453776,0.3707084720659579,0.1612985847649403,2026-05-15,29,48.0,0.0,0.0,0.09,0.0,4.0,0.0,0.049409668530842,0.0,0.0019676431284953,0.0247651635138205,2026-04-16,,FAIL,annualized_call_yield<0.03,0.388369,0.391051,0.0,0.3,0.870708,1.0,0.0682282139521395
XLU,ETF,marketCap,7513869312.0,46.02000045776367,1.1895,0.0258474573700124,0.308427637884783,0.1413270601919892,0.4469309379709676,0.1839224909838664,2026-05-22,36,48.5,0.0,0.0,0.27,0.0,1.0,0.0,0.0538896027285447,0.0,0.005867014283231,0.0594850059272039,2026-04-16,,FAIL,option_liquidity<oi:50|vol:3,0.385374,0.097458,0.196567,0.3,0.946931,1.0,0.0853324632972163
IWM,ETF,marketCap,75712061440.0,269.3900146484375,2.537,0.0094175725232832,1.2283736138680197,0.1959779790741597,0.5761458670722419,0.2750308187824889,2026-05-22,36,285.0,0.0,0.0,1.83,0.0,3292.0,0.0,0.05794567171294,0.0,0.0067931248394199,0.0688747379552298,2026-04-16,,FAIL,dividend_yield<0.02,0.38024,0.0,0.259165,0.3,0.949938,1.0,0.07829231047851301
QQQ,ETF,marketCap,250561953792.0,637.4000244140625,2.8120000000000003,0.0044116722502245,1.234182847348736,0.1707280485881259,1.053973042685807,0.2276830480055592,2026-05-22,36,670.0,0.0,0.0,3.99,0.0,992.0,0.0,0.0511452374290468,0.0,0.0062598052199132,0.0634674695907874,2026-04-16,,FAIL,dividend_yield<0.02,0.376935,0.0,0.223116,0.3,1.0,1.0,0.0678791418410119
DGRO,ETF,totalAssets,37549682688.0,72.36000061035156,1.471,0.0203289108290798,0.6495309743277579,0.1056125677785162,0.5385859512661693,0.140262619522521,2026-05-15,29,74.0,0.0,0.0,0.34,0.0,2.0,0.0,0.022664446874173,0.0,0.0046987285396921,0.0591391695512977,2026-04-16,,FAIL,option_liquidity<oi:50|vol:3,0.369649,0.005482,0.194261,0.3,1.0,1.0,0.0794680803803775
XLF,ETF,marketCap,46089322496.0,52.16999816894531,0.792,0.0151811391182192,0.8498923610462338,0.1535296422414522,0.6931883968255934,0.1554028676860679,2026-05-22,36,55.0,0.0,0.0,0.3,0.0,127.0,0.0,0.0542457720985558,0.0,0.0057504314841739,0.058302985881208,2026-04-16,,FAIL,dividend_yield<0.02,0.366606,0.0,0.188687,0.3,1.0,1.0,0.07348412499942719
DVY,ETF,marketCap,26583093248.0,151.86000061035156,5.244,0.0345318054716413,0.5483607707309217,0.1196078062601836,0.4270299978506289,0.1600022476834812,2026-05-15,29,159.0,0.0,0.0,0.1,0.0,17.0,0.0,0.0470169851241377,0.0,0.0006585012485057,0.0082880329553309,2026-04-16,,FAIL,annualized_call_yield<0.03,0.359604,0.242197,0.0,0.3,0.92703,1.0,0.0428198384269722
SCHD,ETF,totalAssets,84820000768.0,30.649999618530273,1.0550000000000002,0.034420881341942,0.4522075818948379,0.1175227917216677,0.3981818463410356,0.1612483243147001,2026-05-22,36,32.0,0.0,0.0,0.06,0.0,16.0,0.0,0.0440456899925554,0.0,0.001957585668736,0.0198477435857959,2026-04-16,,FAIL,annualized_call_yield<0.03,0.354814,0.240348,0.0,0.3,0.898182,1.0,0.0542686249277379
VNQ,ETF,marketCap,34904367104.0,94.29000091552734,3.487,0.036981651990055,0.4727016497979991,0.1344727432546128,0.2806348058289147,0.1745481087509833,2026-05-15,29,99.0,0.0,0.0,0.13,0.0,31.0,0.0,0.049952264701877,0.0,0.0013787251960731,0.0173529205712657,2026-04-16,,FAIL,annualized_call_yield<0.03,0.347852,0.283028,0.0,0.3,0.780635,1.0,0.054334572561320696
IYR,ETF,marketCap,4958194688.0,100.47000122070312,2.247,0.0223648847685788,0.4569634467913506,0.1341505643760075,0.2752758022281101,0.1752352964688965,2026-05-22,36,104.0,0.0,0.0,0.51,0.0,,0.0,0.0351348535523803,0.0,0.0050761420703049,0.0514664404350362,2026-04-16,,FAIL,option_liquidity<oi:50|vol:3,0.329078,0.039415,0.14311,0.3,0.775276,1.0,0.07383132520361499
VYM,ETF,totalAssets,88722817024.0,153.0500030517578,3.513,0.0229532827830914,0.6870600468716507,0.110515963546014,0.5613553580402886,0.144553170425108,2026-05-15,29,161.0,0.0,0.0,0.27,0.0,2.0,0.0,0.0519437882373232,0.0,0.001764129334311,0.0222036967939148,2026-04-16,,FAIL,annualized_call_yield<0.03;option_liquidity<oi:50|vol:3,0.322305,0.049221,0.0,0.3,1.0,1.0,0.0451569795770062
XLV,ETF,marketCap,29172017152.0,147.77000427246094,2.5069999999999997,0.0169655540875369,0.5592383226310925,0.1601007516861426,0.1602970325322115,0.1710899444810851,2026-05-22,36,155.0,0.0,0.0,0.87,0.0,1.0,0.0,0.0489273568281711,0.0,0.0058875277447774,0.0596929896345494,2026-04-16,,FAIL,dividend_yield<0.02;option_liquidity<oi:50|vol:3,0.318431,0.0,0.197953,0.3,0.660297,1.0,0.0766585437220863
VTV,ETF,marketCap,85715673088.0,202.0399932861328,3.972,0.0196594740249014,0.6482425816176575,0.110022279191565,0.5485674728732433,0.1451953475689873,2026-05-15,29,210.0,0.0,0.0,0.45,0.0,4.0,196.0,0.0393981735219821,0.0,0.0022272818004042,0.028033029556812,2026-04-16,,FAIL,dividend_yield<0.02;annualized_call_yield<0.03,0.31,0.0,0.0,0.3,1.0,1.0,0.0476925035817134
DIA,ETF,marketCap,39380058112.0,484.7200012207031,7.0440000000000005,0.0145321009701696,0.8720516838847042,0.1315232306081466,0.5137192768443424,0.159543110055971,2026-05-22,36,510.0,0.0,0.0,1.18,0.0,1.0,0.0,0.052153818112792,0.0,0.0024343951085746,0.0246820615174934,2026-04-16,,FAIL,dividend_yield<0.02;annualized_call_yield<0.03;option_liquidity<oi:50|vol:3,0.31,0.0,0.0,0.3,1.0,1.0,0.039214162487663004
SPY,ETF,marketCap,642392326144.0,699.9400024414062,7.382,0.0105466182447801,0.9999999999999998,0.1328069538672378,0.7752538848617716,0.1875524692549108,2026-05-22,36,735.0,0.0,0.0,1.76,0.0,737.0,0.0,0.0500900040522098,0.0,0.002514501234193,0.0254942486244572,2026-04-16,,FAIL,dividend_yield<0.02;annualized_call_yield<0.03,0.31,0.0,0.0,0.3,1.0,1.0,0.0360408668692373
VIG,ETF,totalAssets,117045436416.0,224.3699951171875,3.4530000000000003,0.0153897583239528,0.7578968857845785,0.1123980055165289,0.5275358359221975,0.1495047285710901,2026-05-15,29,235.0,0.0,0.0,0.16,0.0,2.0,45.0,0.047377123118715,0.0,0.0007131078285063,0.0089753226691317,2026-04-16,,FAIL,dividend_yield<0.02;annualized_call_yield<0.03;option_liquidity<oi:50|vol:3,0.31,0.0,0.0,0.3,1.0,1.0,0.0243650809930845
VTI,ETF,marketCap,715931123712.0,345.239990234375,3.769,0.010917043525118,1.0159834423474423,0.1354108498085457,0.7631621643483468,0.1930359178623067,2026-05-15,29,365.0,0.0,0.0,0.35,0.0,9.0,0.0,0.0572355761921161,0.0,0.0010137875388143,0.0127597397126634,2026-04-16,,FAIL,dividend_yield<0.02;annualized_call_yield<0.03,0.31,0.0,0.0,0.3,1.0,1.0,0.0236767832377814
NOBL,ETF,totalAssets,11058682880.0,107.02999877929688,2.272,0.0212276934122462,0.5331809042360163,0.1235650972049903,0.2495292432968441,0.1536448685589748,2026-05-15,29,113.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0557787656618933,0.0,0.0009343174917361,0.0117595132580589,2026-04-16,,FAIL,annualized_call_yield<0.03;option_liquidity<oi:50|vol:3,0.277545,0.020462,0.0,0.3,0.749529,1.0,0.0329872066703051
